外交部宣布：中方特别代表将就乌克兰危机开展第二轮穿梭外交
乌克兰最后发现，当初还不如接受中国提的建议好了，司机再这么折腾下去，把乌克兰给折腾没了！,68642980555,华夏女儿5608
中国显示我大国风范，真心为世界和平而努力,59400310857,和赛客一起去流浪
世界和平离不开中国，中国是和平使者。,95121606158,淡忘
中华人民共和国万岁！中国人民万岁！,4001868036459507,石头流水阳光
中国再次主导世界重建新秩序，是必然的，西方人要学会接受！[赞][赞],73036212759,丞墉
穿梭是什么意思？,101688042343,我是兵临城下
中方所做的一切都通往一个目标，那就是为止战凝聚共识，为和谈铺路搭桥。,61509905767,花儿朵朵1699
若非不是双方邀请，以司机的政治智商，目前很难达成结果！,97543561545,YUF077
我们将继续发挥自身独特作用，穿梭外交，凝聚各方共识，为推动政治解决乌克兰危机贡献中国智慧。,61509905767,花儿朵朵1699
中国万岁,58813780241,进哥158434269
厉害了，我的国[赞],5741717919,齐咕隆咚呛咚呛
中国是稳护世界稳定的核心力量,787679835063775,敏锐露珠SI
俄乌战争该结束了，中国促谈，很有必要,3052687406929608,卓玛
大国责任担当[加油][赞],60333745804,Y先生166
中国牛逼！！！,102507706032,一个热血青年K
彰显大国风范，大国外交，大国智慧！,61509905767,花儿朵朵1699
这事，就撇开美国不跟美国谈[赞],23720552528,卧云187
世界人民大团结万岁！中华人民共和国万岁！,787679835063775,敏锐露珠SI
若能斡旋成功，真正实现停火，善莫大焉,61173131153,笨一一拉灯
辛苦了，世界和平靠中国。全世界没有饥饿儿童靠中国，全世界营养早餐靠中国。中国真好,2572511662320643,寸刻1
但愿各参与方都能倾听中国声音，采纳中国建议，早日结束俄乌冲突。友好相处，共谋发展，和谐共生。,73787751990,云淡风轻LMG
在推动世界和平的舞台上，应尽展我大国风范，大国智慧，大国力量！,110123847683,知情达理微风Pf6
对的，咱们不着急。 除了美国，都可以坐下来谈。,50785735923,一袋天椒cd
中国始终是世界和平的缔造者和建设者,61509905767,花儿朵朵1699
为世界和平贡献中国智慧！[赞][赞][赞][赞][赞][赞],52864389995,手机用户六安人在无锡
牛牛牛[赞][赞][玫瑰][玫瑰],20385615096,大王叫我来巡山-i
俄乌战争只要有美国在烘火！没有谁可以将火扑灭！,109561442913,梦涵887
[看],61522636346,碧波爱琴海
恰逢其时[赞],77491279621,子木随笔mz
祈祷世界和平[蜡烛][祈祷][祈祷][祈祷],95504951422,远山暮霭
中方代表辛苦了[赞][赞],61509905767,花儿朵朵1699
显示大国风范！,6115855900,华仔79908680
太伟大了,111592091882,快乐淡定饭团
做好自己事，富则兼济天下。,51614310681,知足之足常乐也
我们作为负责任大国的责任和担当[微笑],3830302307268212,草民觀風雲
司机说不接受没有参与战争的提出的方案,83391023405,清闲的熊猫pT
中国风范，大国外交！[赞][赞][赞][心][心][心][玫瑰][玫瑰][玫瑰],576617165619279,一丝不苟柑桔KtC
中国显示我大国风范，真心为世界和平而努力！,4552395937,李泰三
宏观操天下，微观驭民生,9513818924,真的不混了
希望有个好的结果,4498805312199175,阿胶之乡
和平使者[赞],3941512467,nyhe_35075
目前是实力说话。,2955917225627932,勇敢的梦想86
中国是维护世界和平的核心力量，中方所做的一切都通往一个目标，那就是为止战凝聚共识，为和谈铺路搭桥。,400635744748152,梦幻花猫6WH
中国再次主导世界重建新秩序，是必然的，西方人要学会接受！[赞][赞],6363059766,sbwgi10
大国担当，共建人类命运共同体,51552896512,一路高歌132657319
中国在世界秩序的调整中，将起到积极的重大作用。给伟大的祖国点赞。,2229409494611811,椰树临风
乌克兰越早听中国建议越利于保护好自己的国家利益！,4480346213,归心怡然
乌克兰对中国的帮助很多，于发动机等等,2977936818836983,知民
中国，和平的使者！,94251819611,悠闲方寸之间看世界
纵观未来，只有和平才是各国及各国人民发展的基础,3986163684,峰回路转柳暗花明A
爱好和平的大国出马，世界信服者众，和平指日可待,56614585935,极客攀登者
中国政府大国担当[赞][加油],105133615398,正直201
由于美国人内部矛盾重重，乌克兰确实应该接受中国的方案才是可靠的。,1112337216450300,大海波涛zhang
白费力，美西方不断加大援乌武器，并促使乌克兰战斗到最后一人。,65214305993,W兔年吉祥
希望能看到成果,96228136149,RDCY徐天启
我们一贯主张劝和促谈,4125830295849779,智勇双全暖阳pL
