陈先生的微操,江湖中人。,,97430421506,MS4wLjABAAAA_uumfrkzkl2f6OgOPm3zx_ehy8KkND4G-1z4O9PYFeA,214,175,90,2,15,18,140,39,0.8177570093457944,0.4205607476635514,18,0.08411214953271028,0,5519,132,105
,,,382221420855299,MS4wLjABAAAAkrUNW5ccQ_2ka2eA_xSNCPvFbIQCLgut9ca9G9AGcJs,0,0,0,0,0,0,0,0,,,0,,0,48,0,15
FUGLE夫哥,80后技术男,,2948472837,MS4wLjABAAAAwlSMqFAQSwEllVMbYtg052FdEQnuZb4XsdQn1esSlBM,44,43,19,2,12,22,6,2,0.9772727272727273,0.4318181818181818,2,0.045454545454545456,0,4198,88,196
二哈的故事集,,,98955165703,MS4wLjABAAAAUJcQO9GnygOc9j7m9QqtX911lo972rW3ncixqmc5U38,1,1,1,0,0,0,1,0,1.0,1.0,0,0.0,0,67,20,25
阿东153039499,,,52619886602,MS4wLjABAAAAZ8c1sOyS-tR66ZxTdRu7caZwneRjrBfuUT92zQovE4U,11,6,6,0,0,0,4,7,0.5454545454545454,0.5454545454545454,0,0.0,0,5067,182,2111
博学的海浪xM,,,5885296650,MS4wLjABAAAAQ6JD9rUrrsK_DV_47BqXdn14V-Xz6LPqc7_jXoWN4NA,44,44,4,0,16,28,0,0,1.0,0.09090909090909091,2,0.045454545454545456,0,3056,33,1727
高贵山丘Q,不要等待机会，而是要创造机会。,,103958396949,MS4wLjABAAAASK0HVqembIWp5x6XKr5iEET0vgnw8f3V2gVaw-YnT0I,14,8,8,0,0,1,4,9,0.5714285714285714,0.5714285714285714,0,0.0,0,5372,44,365
,,,80138272789,MS4wLjABAAAAu41Q8133b2mPk_Ivm4nH__6k_BP5zunHKr9E6F7A5nA,0,0,0,0,0,0,0,0,,,0,,0,0,0,77
鄒小迷,生活就是过了今天等明天而已,,82144731157,MS4wLjABAAAAvgxZ1N78uJGW5FGSRy3WJbEaegdUyKf7iqC6wimEGOE,100,100,35,0,4,71,24,1,1.0,0.35,25,0.25,0,14000,87,0
热情的微风,爱生活的金仔,,1377055595298840,MS4wLjABAAAAGwAfqHvUUS3hzNOyQkVlreTcOMveEws5GzmrwHKECseJ3BP1CqJ6g5QpVg0oA7Tj,33,33,2,0,6,17,10,0,1.0,0.06060606060606061,2,0.06060606060606061,0,11,2,49
靠谱男青年ALEX,陈医生的病人...,,3449446427,MS4wLjABAAAA5TvxMGo8BM4vzyf-Vcm2D0JsxmP4Ydnt5to6MXIYWuA,197,131,114,1,19,8,103,66,0.6649746192893401,0.5786802030456852,28,0.14213197969543148,0,16000,381,1090
,,,794324300726300,MS4wLjABAAAAkuHEARZpqhV1N5SulG2of9vtXe_D6RTQJUMbyqvrMZA,0,0,0,0,0,0,0,0,,,0,,0,1981,3,11
机智的咖啡qI,,,3214587943714846,MS4wLjABAAAAzAwFc4irmdYH8M-syGCc0UOAWvQ8COHauAyvujIdDS1LdrGoxm4HJVeqsCFwNZT2,16,16,8,0,0,0,16,0,1.0,0.5,1,0.0625,0,1149,72,87
奋发有为精灵zH,,,1824792438374436,MS4wLjABAAAAhUC4ot_r05Grf7WI5kpGg1mjXE4CKMTkGhZ_MW56fNb5uMDsOFImDsXdsNmKuoTP,2,2,0,0,0,0,2,0,1.0,0.0,0,0.0,0,108,2,7
,,,110940069924,MS4wLjABAAAAROCNTXTw0ExTYw-QAg62xirZinhMqCbSKE9vOKogCMg,0,0,0,0,0,0,0,0,,,0,,0,449,3,65
一匹黑色的白马0,,,1913566960037005,MS4wLjABAAAAG9QGy37iF7jJ_yPwJ1Bd1kSPm5XDQ2zszmjVQ5usK-X0GbBQ0W4oTOeKmLau8-9e,11,11,0,0,0,0,11,0,1.0,0.0,0,0.0,0,3466,3,40
鹤顶红333,古文观止—经典传播者,,104466014250,MS4wLjABAAAAP65W2-t_-Ou_y4zd5ocL-mBDmZHb8FBr36nfIs4ehDQ,46,40,21,3,1,2,34,6,0.8695652173913043,0.45652173913043476,3,0.06521739130434782,0,20000,45,86
神奇7233,,,105355395115,MS4wLjABAAAAnbbNcUXOqgYQSfB9_fdwq3XS73pFfUxk-0VX9n11D9I,85,82,25,0,0,0,81,4,0.9647058823529412,0.29411764705882354,2,0.023529411764705882,0,13000,56,160
驶入深蓝世界,不管时代的潮流和社会的风尚怎样，人总可以凭着自己高尚的品质，超脱时代和社会，走自己正确的道路。,,60344164395,MS4wLjABAAAA1B1OqhC16akMaFqaTASwkG5fEej7Sqfmr3vAaJTyVmc,236,61,108,8,1,0,46,181,0.2584745762711864,0.4576271186440678,12,0.05084745762711865,0,19000,522,202
好学星辰3,,,111628558379,MS4wLjABAAAA1GWx0JBdL1UI8rZ5vx5Yu6OjILUkvackHVTAqaRYMTw,12,12,6,0,0,11,1,0,1.0,0.5,5,0.4166666666666667,0,76,14,159
睿智逍遥小书生,我本楚狂人，凤歌笑孔丘，三教九流爱，文史天地通,,223948334956590,MS4wLjABAAAAJmyOrzj2eHxhHwpHzkzrFFiE1601P0ps2aToG6-sYZY,8,8,4,4,0,0,4,0,1.0,0.5,2,0.25,0,2636,23,46
虚无151,,,105887997998,MS4wLjABAAAA9Lv9BOUWG8oLT0q-pLKg73MqpNsDwPBTuhaPOF2oJ3I,7,7,1,0,0,1,6,0,1.0,0.14285714285714285,0,0.0,0,1243,6,283
豁达的越过山丘,,,3272566163382319,MS4wLjABAAAAWiDb8grHyoYQIOAHSZZXk4coUUOSTY_TtSHUpRvhC822u-2lyzyHLBL6ONxU-9pM,47,46,30,0,0,0,46,1,0.9787234042553191,0.6382978723404256,8,0.1702127659574468,0,10000,43,23
blacktype-r,,,109460398128,MS4wLjABAAAAgjXaJph3j9B2Si8TVzNTXPI-iTfQFAbcrWjMNEdOcss,15,14,7,0,0,1,13,1,0.9333333333333333,0.4666666666666667,1,0.06666666666666667,0,23000,56,196
大帝驾到,,,59147247666,MS4wLjABAAAAEw61o43gVonXHT1L0xRGa1etJvUpJkEaLU4hZJwBrP4,9,9,3,0,0,0,9,0,1.0,0.3333333333333333,1,0.1111111111111111,0,577,15,299
南宁职业发帖AI,专业的摆烂技术工程师,,3856731023605804,MS4wLjABAAAAJcKEWHD0AfjdZA6E7rTljfMO_V0zcLVFp3X8BFJF9bFORruxu-QOJegNM28rogZz,366,158,182,1,0,0,150,215,0.43169398907103823,0.4972677595628415,10,0.0273224043715847,0,6217,297,108
这山这汉,这大哥，什么都没留下。,,2845188369940532,MS4wLjABAAAAanE4IG0kvz-vBjQ_FvQWuJmEek2vHTqBTw-NW8wEVsW1hItQMBaU0UdgybM5Ropn,4,4,2,0,0,0,4,0,1.0,0.5,1,0.25,0,4362,25,308
涐霸道但不矢温柔173400288,,,61688922164,MS4wLjABAAAAdrLECckIIhDPNKc_HFlVBQp39mhBbrehHPoW-kGMmO0,5,3,2,0,0,0,3,2,0.6,0.4,0,0.0,0,1573,9,641
狄克16,人生的下半场要么读书，要么旅行，身体和灵魂总有一个在路上！我两个一起前行！有和我一样的朋友可以多聊聊，你懂的！！！,,61689954360,MS4wLjABAAAAtR7gOlHVfkLc3nK1-Wp7aOPfGo3tktag1bk8P0-Pls0,69,66,33,0,1,12,53,3,0.9565217391304348,0.4782608695652174,2,0.028985507246376812,0,3547,160,206
辰星冉月,自由职业  畅游天下  记录生活  分享美好,,51123986488,MS4wLjABAAAAYu-fkL5dDuWlHIZrZSIb7AO_anUP-6BhNTD7DvsPEBI,31,26,26,5,3,9,9,5,0.8387096774193549,0.8387096774193549,13,0.41935483870967744,0,2774,827,151
麻花街木偶,,,449048141373500,MS4wLjABAAAAAfWeD2Nar1nELcYpfnhz9Xcjq84Kn1msv75YM787AIo,104,68,95,1,0,0,65,38,0.6538461538461539,0.9134615384615384,50,0.4807692307692308,0,21000,282,30
心跳男孩0606,,,87086497852,MS4wLjABAAAAy-I5Uyv04mKFPsJEGSwODSha8e_RRKe00expSCCTG4Y,7,2,6,0,0,0,2,5,0.2857142857142857,0.8571428571428571,0,0.0,0,3105,10,221
,,,1920199344529470,MS4wLjABAAAA3CwVh4U4itUkrIB4tzygWlm-3CYF1jwlKmDLNbeMqbE7r_AxdM8fRluJ1MPyXQd2,0,0,0,0,0,0,0,0,,,0,,0,185,0,0
,,,92603834431,MS4wLjABAAAAtsx_C8kdOnMex-OG2L-7feYPE2-UNDBw9lJOWe6fZAI,0,0,0,0,0,0,0,0,,,0,,0,1,6,35
直率星球cn2,,,66491621437,MS4wLjABAAAAeyzJmMLQin3hmtKbLOVTDz1bHns6D8yw3rM3O5E-o94,57,57,29,0,30,9,18,0,1.0,0.5087719298245614,3,0.05263157894736842,0,4896,10,60
飞天侃神,这个人很懒，什么都没留下。,,5755879490,MS4wLjABAAAArVjxxxJLdDykrMDww-olxX2EU2xOcVxTxQWmWg_3iNM,11,11,7,3,0,0,7,1,1.0,0.6363636363636364,1,0.09090909090909091,0,1502,5,48
跑车的九零后,90后跑货车的小伙子，跟着老胖走遍天涯,,63803514950,MS4wLjABAAAAOKFQ-Ep30A6T1YTFwv1lJAMFgwfDYzIlWYx2V1XkqVY,257,229,220,11,107,3,108,28,0.8910505836575876,0.8560311284046692,142,0.5525291828793775,0,70000,1785,203
xgxg0000,,,3434522455834695,MS4wLjABAAAAAk1CVvayCiLz_XPaDrBavgqx337v4Ym2PMwIs5TMBHatWTDJAr8xztCVcPyJaLTS,14,14,3,1,0,6,7,0,1.0,0.21428571428571427,2,0.14285714285714285,0,51,14,224
我怀念的nx,🙋🏻‍♂️🙋🏻‍♂️🙋🏻‍♂️🙋🏻‍♂️,,84677984328,MS4wLjABAAAAX77Mk__ySahj8tslD117fcBVZhxiSx06-kgfSdTDp1w,335,4,242,0,0,0,4,331,0.011940298507462687,0.7223880597014926,3,0.008955223880597015,0,102000,174,84
无忧小熊熊,记录和分享美好,,98548564041,MS4wLjABAAAAi0LLEpopXm_MUgB6q7fzB7ag7MW8m6LavoUDuZ3wuLE,5,5,3,0,0,0,5,0,1.0,0.6,1,0.2,0,1516,4,18
,,,78006059080,MS4wLjABAAAAf__DmOYHxGqYvOtO-od-elmWzZpRDJR6sB0HaYoQikk,0,0,0,0,0,0,0,0,,,0,,0,31000,83,108
华沙白羊座乐豆,,,5228421198,MS4wLjABAAAA9DY_Fx99nqm_hv2SweTxMezgTCL6l9Elh5hUuxnLDbE,380,63,159,0,0,0,63,317,0.16578947368421051,0.41842105263157897,1,0.002631578947368421,0,10000,151,43
,,,106767188047,MS4wLjABAAAA4NVf2MmB7FF5fZdLiZNoTWqfah3u5Qs2h5GFmXXpot4,0,0,0,0,0,0,0,0,,,0,,0,57,0,1
满心禧悦,,,6385287249,MS4wLjABAAAAivOXGDKpuiLFXlzkiZK-Jq0x9aX787mEfHCpE_JVMkI,2,2,2,0,0,1,1,0,1.0,1.0,2,1.0,0,76000,134,156
品味时潮,,,61429907540,MS4wLjABAAAACIVcytUp9vDN15L4d-b4W09rK2VPq5ibm3njF2a-HUI,108,95,25,2,18,5,70,13,0.8796296296296297,0.23148148148148148,4,0.037037037037037035,0,3965,19,85
灵魂白书,师夷长技以自长，他人之短以自警,,440273479401559,MS4wLjABAAAA1hK_rGbCSw5fNr5r8Xf8J1T6980phZi7P8T655zRC_M,50,50,10,0,7,28,15,0,1.0,0.2,3,0.06,0,4716,16,17
林海龙珠,独立摄影师,,88637390937,MS4wLjABAAAAIjWd9a6oGCPxoKaCmSkdr3bhMZYh-T2-f1VbVO5jnSs,1977,1973,87,0,27,1135,810,5,0.9979767324228629,0.04400606980273141,21,0.010622154779969651,0,6061,110,120
旅行的菠萝蜜,,,91670184026,MS4wLjABAAAAT9ygmGYNalQ1yN9cOz6_xzm8bvKLkEmE53V9-0ppuPs,128,106,66,15,2,18,68,25,0.828125,0.515625,7,0.0546875,0,822,29,1889
菜农诗人,本乃路旁寂寞客，缘君开放缘君落。,,2686860494643293,MS4wLjABAAAAqyZQX25qW4yAN_RgX38arD8Imoq4DIpLh_qXYgI6fao_vbcD-RrrYPOd1sg144-t,573,500,458,53,20,12,409,79,0.8726003490401396,0.7993019197207679,299,0.5218150087260035,0,21000,2435,270
阿谱4,,,54227198045,MS4wLjABAAAAQ96ucIQ-xY4x27UjYxE-Ipjcz9Fvcr6VQij5EwIHXPg,1,1,0,0,0,0,1,0,1.0,0.0,0,0.0,0,5485,40,446
一副空皮囊,写我所写，记我所记。,,75820752990,MS4wLjABAAAAiv_YV42U-0vRAlWBa3J1j7nSkwGkUev9SX2ke-OVaHY,9,7,7,1,2,2,2,2,0.7777777777777778,0.7777777777777778,0,0.0,0,1152,36,14
Alamomo,"华为mate60pro全球形象代言人美国商务部部长 雷蒙多女士",,1398209263435872,MS4wLjABAAAAjpIrn9x8vo3tXuoT3II_Pq5cUY_Xg2k29u6TuaK_Vn31nIFP0DWnNy9q-IzuCLDI,39,33,33,0,0,0,33,6,0.8461538461538461,0.8461538461538461,11,0.28205128205128205,0,32000,101,244
愿我会炸火箭,这个人很懒，什么都没留下。,,105967624289,MS4wLjABAAAApqbb7-sre7Om2dkPriZRWhfv6_go9CWrSQ22g3kiU28,26,20,3,1,3,16,0,6,0.7692307692307693,0.11538461538461539,0,0.0,0,568,4,43
,,,2673648084213853,MS4wLjABAAAAlvFu4bva9NeR8a05glBUEteTKmZNVLwy_Xf6-EN-NXLJgsPeZW1tgpe1dNbu2wY_,0,0,0,0,0,0,0,0,,,0,,0,1148,5,31
枭缘少帅,这个人很懒，什么都没留下。,,3949568096,MS4wLjABAAAAdc3Oy4BzoI38ECefWhjm2ca_FkYfcF8UeSuJvymCuB8,79,70,48,2,20,47,1,9,0.8860759493670886,0.6075949367088608,16,0.20253164556962025,0,2952,130,242
又帅又有钱的大叔,,,110650794084,MS4wLjABAAAAQT3x028SvZObXMlrkyIJMAU1k6O93epO-T6OJAIgZZU,8,6,6,0,0,1,5,2,0.75,0.75,4,0.5,0,66000,106,130
小财神1304,走走看看,,3531249288216676,MS4wLjABAAAArJpRlRBSEA_cbIlWnw-jwvT61oxQ5H7ze4dKTaEEre4OHfXr4EvD-lAbJfENIp5T,104,104,53,12,0,3,89,0,1.0,0.5096153846153846,13,0.125,0,356,59,378
机智的小鱼Hk,,,3709870180,MS4wLjABAAAAusJXaeyD-YsPrmnka0xIoxPtjC_PDDwTxkw8AQoMYYw,291,28,115,0,0,0,27,264,0.09621993127147767,0.3951890034364261,1,0.003436426116838488,0,43000,219,29
一林独秀,,,3688751205,MS4wLjABAAAAd2bytLtxb0sr74yMKcYJMsoABC8eLDn-SV3tbu_rACc,8,7,3,0,0,2,5,1,0.875,0.375,1,0.125,0,2189,33,61
,,,3562064191946852,MS4wLjABAAAAV4lM9AsAC1Ztk9z3LIT32-i63GVmu4yYwceE5lvNoEwCboiSnbXfCz8p-UU-TUeK,0,0,0,0,0,0,0,0,,,0,,0,2777,17,10
废铁皮天津研究中心,整备强迫症患者，钟爱经典大排和旅行，坚持性价比玩车，终于品质，以车会友！,,105511673961,MS4wLjABAAAASHUs6Q1FGOuJanW7IciKzmWLcBRhr1HBjalc6n5jGgM,26,26,5,0,0,1,25,0,1.0,0.19230769230769232,1,0.038461538461538464,0,13000,123,36
HPWQX,"坎坷前半生、向往平淡的幸福永不放弃追逐梦想的江湖行路人记录和分享人生旅途中的美好",,3715588202,MS4wLjABAAAA8MdV0c_Ta5e7fy3SR7WHuQZRVeCAZdsCF3pqDO6c6C4,352,347,21,0,60,166,121,5,0.9857954545454546,0.05965909090909091,5,0.014204545454545454,0,2168,66,12
